Date,GBP,EUR,HKD,CNY,JPY,AUD,THB,INR,TRY
05/01/2009,0.011907347,-0.019939534,0,-0.001365188,-0.009569451,0.009525216,-0.003490405,-0.004889985,0.002607164
12/01/2009,-0.022733555,-0.005147152,0.000775494,0,0,-0.033102683,0,0.004987542,-0.0211331
19/01/2009,-0.019585643,-0.0145369,0,0,0,-0.003722735,-0.003490405,-0.014252023,-0.009498925
26/01/2009,0.011015627,0.013303966,0,0,0.009569451,0.005780363,0.003490405,-0.01467019,0.022458011
02/02/2009,-0.01577243,0.005383698,0,-0.002052686,0.009852296,-0.005842891,0,0.004914015,-0.003292184
09/02/2009,0.007067643,0.005936108,0,-0.000683761,0,0.006487784,0,0.004914015,0.002906509
16/02/2009,-0.00795538,-0.006552286,0,0.002049881,0.009661911,-0.011943183,0,0.005012542,-0.013100262
23/02/2009,0.003318358,-0.010567199,0,0,0,-0.006055449,0.003565066,-0.010050336,0.003229373
02/03/2009,-0.018265026,-0.006731899,0,-0.000684229,0,-0.016227217,0,0.004938282,-0.019051464
09/03/2009,-0.02197575,-0.002376051,-0.000775494,0,0.009478744,-0.013513719,-0.003603608,0.004471203,-0.009715802
16/03/2009,0.004061715,0.003167126,0,0,-0.009302393,0.001213592,0.003590668,-0.115223939,0.006636628
23/03/2009,0.007231187,0.003454235,0,-0.00136612,0,0.027292702,0,0.004412021,0.017097299
30/03/2009,-0.004758248,-0.007092228,0,-0.000683294,0.009478744,-0.01891791,-0.003552402,-0.001589404,-0.009063506
06/04/2009,-0.005272776,-0.005652674,0,0,0,-0.003502631,0,0,-0.005226907
13/04/2009,0.011924261,0.013332024,0,0,-0.009478744,0.015581149,-0.007117468,0.000529801,-0.00109847
20/04/2009,-0.018143871,-0.009631388,0,-0.000683294,0,-0.033399849,-0.003552402,-0.00159109,-0.027094852
27/04/2009,-0.003754142,-0.017965011,0,0,-0.009478744,-0.018984378,-0.003539827,0.001053741,-0.013920587
04/05/2009,0.007345609,0.010423401,0,-0.000681896,0,0.012782333,0.003527341,-0.003154577,0.020635528
11/05/2009,-0.008497235,-0.005289851,0,0,0,-0.01465803,0.006944472,0.002625362,-0.020680205
18/05/2009,0.011930656,0.004509674,0,0,-0.009302393,0.021534619,0,-0.001562907,0.019734927
25/05/2009,-0.001067336,0.001071314,0,-0.000682361,0.009216655,-0.000894626,0,0.000523972,0.005552143
01/06/2009,0.015997399,0.000776864,0,0,0,0.011170527,0.006849342,-0.000520969,0.007953545
08/06/2009,0.004495793,-0.005525074,0,0,0.009132484,-0.00556189,0,0.004127973,-0.012222632
15/06/2009,-0.00848886,-0.016681434,0,0,-0.017857617,-0.021276075,0,-0.00207254,-0.010629385
22/06/2009,-0.010046052,-0.005826307,0,0,0.00896867,-0.025880842,0,-0.001551591,-0.016896522
29/06/2009,0.002116147,0.001635323,0,0,-0.017857617,-0.00049554,0,-0.002571357,-0.00415034
06/07/2009,-0.003924459,0.00078743,0,-0.000683294,-0.018018506,0.000125447,0,0,-0.005082799
13/07/2009,0.001911752,0.003296076,0,0,0,0.005378422,-0.003407158,0.002059733,0.004950505
20/07/2009,0.013080034,0.009107981,0,0,0.009216655,0.016194185,0,0.003596202,0.013333531
27/07/2009,0.003766254,0.002811953,0,0,0,0.006584587,0,-0.006692432,0.001477323
03/08/2009,0.012776119,0.011720519,0,0,0,0.007631804,0,-0.003091193,0.011844841
10/08/2009,-0.01193936,-0.002964638,0,-0.000683294,0.00896867,0.000597051,0,0.001033058,-0.012373114
17/08/2009,-0.011920107,-0.00898072,0,0,0,-0.014393959,-0.003407158,-0.001554002,-0.010491703
24/08/2009,-0.00522353,-0.001397331,0,0,0.00881063,0.00406456,0,-0.00103627,-0.008350779
31/08/2009,0.000430174,0.002235418,0,0,-0.008658063,0.002845964,0,0.00052233,-0.001049869
07/09/2009,-0.00281002,0.002934192,0,0,0.00896867,0.00550901,0,0,0.002234971
14/09/2009,-0.005536513,0.003699395,0,0,0,-0.002202261,0,-0.000521785,-0.000895924
21/09/2009,-0.003632673,-0.002382169,0,-0.000682827,-0.00896867,-0.005316088,0,-0.001567808,-0.007136516
28/09/2009,-0.004271095,-0.004571982,0,0.000682827,0,0.005284332,0,-0.000525624,-0.003574624
05/10/2009,-6.27E-05,0.005338456,0,0,-0.009216655,0.013888315,0,-0.00052233,0.008179092
12/10/2009,-0.002592231,0.00291496,0,0.000682361,0.009216655,0.003203184,0,0.000521241,0.005553946
19/10/2009,0.003234965,0.0038835,0,0,0.009216655,0.013116008,0.003338901,-0.001571092,0.005972776
26/10/2009,0.001164466,-0.008904421,0,0.000682827,0,-0.00685344,0,-0.00157274,-0.013783101
02/11/2009,-0.003471486,0.003459155,0,0,0,0.00454874,0,0.000525072,0.000602319
09/11/2009,0.007910391,0.009717598,0,0,0,0.011901038,0,0.000523697,0.007538281
16/11/2009,0.008234428,0.003747077,0,0,-0.009049836,0.003849037,0,-0.000525072,0.001477105
23/11/2009,0.006099237,0.00704063,0,0,-0.00896867,0.009457106,0,-0.000525072,0.00029994
30/11/2009,-0.000789769,0.002802244,0,0.000682827,0,0.009001158,0,-0.004217191,-0.00473464
07/12/2009,-0.000121588,-0.002157062,0,-0.000682827,0,-0.003828698,0.003316753,-0.002647605,0.000595948
14/12/2009,0.003869427,0.002254176,0,0,0.008888947,0.004921001,0,-0.001053186,0.006167752
21/12/2009,-0.006275846,-0.004121989,0.000775494,-0.000682827,-0.008888947,-0.011062309,0,0.000525901,-0.00426895
28/12/2009,0.002377527,-0.000972898,0,-0.000682827,-0.00938974,0.002821195,0,0.001581028,0.000151206
04/01/2010,-0.004524754,0.006054509,-0.000775494,-0.000682827,0,0.017128437,0.00332779,-0.000526177,0.016497365
11/01/2010,0.004730496,0.006983124,0,0,0.009478744,0.007542326,0.003305788,0.001577702,0.00785116
18/01/2010,0.004233785,6.95E-05,-0.000776096,0,0.009302393,0.003460211,0,-0.001048218,0.003636632
25/01/2010,0.008098712,0.000989749,0,0,0,0.003767317,0,0.000526454,0.002677378
01/02/2010,-0.003003757,0.004677445,0,0,0,0.008106327,0.003316753,0.009569451,0.010868863
08/02/2010,-0.002305181,-0.000805359,0,0.000682827,0,-0.003463407,0,0,0.004119313
15/02/2010,-0.001977861,-0.001396186,0,0,0.009216655,0.001913876,0,0,0.001213961
22/02/2010,0.000581452,-0.001249403,0,0.000682827,-0.009132484,0.001778964,0.003316753,-0.004819286,-0.010491999
01/03/2010,-0.017129482,-0.004781706,0,0,0.009132484,0.006791765,0.006578971,0,0.008956206
08/03/2010,-0.004900672,0.000587113,0.000776096,0,0.009049836,0.00231214,0,-0.004796172,0.003531674
15/03/2010,-0.008730792,-0.00634136,0,0,0,-0.001093135,0,0.004889985,0.00045854
22/03/2010,0.005778635,0.001624216,-0.000776096,0,0,0.002618374,0,0,-0.001537752
29/03/2010,0.005687346,0.004834341,0,0,0,0.014603608,0,0,0.005518947
